corned_b,peppers,bourbon,cracker,chicken,apples,coke
olives,bourbon,coke,turkey,ice_crea,ham,baguette
hering,corned_b,olives,ham,turkey,bourbon,peppers
baguette,sardines,apples,peppers,avocado,ice_crea,bourbon
baguette,soda,hering,cracker,heineken,peppers,apples
baguette,soda,hering,cracker,heineken,corned_b,ham
avocado,cracker,artichok,heineken,ham,ice_crea,olives
hering,corned_b,apples,olives,steak,cracker,chicken
corned_b,peppers,bourbon,cracker,chicken,avocado,soda
baguette,sardines,apples,peppers,avocado,ice_crea,ice_crea
soda,olives,bourbon,cracker,heineken,steak,corned_b
soda,olives,bourbon,cracker,heineken,steak,steak
soda,olives,bourbon,cracker,heineken,ham,hering
corned_b,peppers,bourbon,cracker,chicken,sardines,olives
sardines,heineken,chicken,coke,ice_crea,hering,cracker
sardines,heineken,chicken,coke,ice_crea,artichok,steak
olives,bourbon,coke,turkey,ice_crea,heineken,apples
sardines,heineken,chicken,coke,ice_crea,soda,ham
hering,corned_b,olives,ham,turkey,cracker,avocado
hering,corned_b,apples,olives,steak,bordeaux,avocado
